"Phylum","Class","Organism_name","Organism","Number_of_rpoN_genes","Total_organisms_per_class","Class_count_organims_with_rpoN"
"Thermosulfidibacterota","Thermosulfidibacteria","Thermosulfidibacter takaii ABI70S6","ttk",1,1,1
"Campylobacterota","Desulfurellia","Hippea maritima DSM 10411","hmr",1,2,2
"Thermodesulfobacteriota","Syntrophobacteria","Desulfoglaeba alkanexedens ALDC","dax",1,2,2
"Thermomicrobiota","Thermomicrobia","Sphaerobacter thermophilus DSM 20745","sti",1,2,2
"Ignavibacteriota","Ignavibacteria","Melioribacter roseus P3M-2","mro",1,2,2
"Nitrospirota","Nitrospiria","Leptospirillum ferrooxidans C2-3","lfc",1,2,2
"Actinomycetota","Nitriliruptoria","Euzebya pacifica DY32-46","euz",0,2,2
"Gemmatimonadota","Gemmatimonadia","Gemmatirosa kalamazoonensis KBS708 (Gemmatirosa kalamazoonesis KBS708)","gba",1,2,2
"Actinomycetota","Thermoleophilia","Conexibacter woesei DSM 14684","cwo",0,2,2
"Rhodothermota","Rhodothermia","Rhodothermus marinus DSM 4252","rmr",1,2,2
"Thermomicrobiota","Thermomicrobia","Thermomicrobium roseum DSM 5159","tro",0,2,2
"Rhodothermota","Rhodothermia","Salinibacter ruber M8","srm",1,2,2
"Actinomycetota","Nitriliruptoria","Egibacter rhizosphaerae EGI 80759","erz",0,2,2
"Chloroflexota","Anaerolineae","Anaerolinea thermophila UNI-1","atm",1,2,2
"Ignavibacteriota","Ignavibacteria","Ignavibacterium album JCM 16511","ial",1,2,2
"Chloroflexota","Anaerolineae","Pelolinea submarina MO-CFX1","psub",1,2,2
"Bdellovibrionota","Bacteriovoracia","Bacteriovorax stolpii DSM 12778","bsto",1,2,2
"Chloroflexota","Dehalococcoidia","Dehalococcoides sp. UCH007","duc",0,2,2
"Bradymonadales","Bradymonadaceae","Bradymonas sediminis FA350","bsed",1,2,2
"Acidobacteriota","Holophagae","Sulfidibacter corallicola M133","scor",1,2,2
"Gemmatimonadota","Gemmatimonadia","Gemmatimonas aurantiaca T-27","gau",1,2,2
"Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrio yellowstonii DSM 11347","tye",1,2,2
"Bdellovibrionota","Bacteriovoracia","Halobacteriovorax marinus SJ (Bacteriovorax marinus)","bmx",1,2,2
"Nitrospirota","Nitrospiria","Nitrospira moscoviensis NSP M-1","nmv",1,2,2
"Acidobacteriota","Holophagae","Thermotomaculum hydrothermale AC55","thyd",1,2,2
"Bacteroidota","Saprospiria","Saprospira grandis Lewin","sgn",1,2,2
"Nitrospirota","Thermodesulfovibrionia","Dissulfurispira thermophila T55J","dtp",1,2,2
"Chloroflexota","Dehalococcoidia","Dehalogenimonas formicexedens NSZ-14","dfo",0,2,2
"Bradymonadales","Bradymonadaceae","Persicimonas caeni YN101","pcay",1,2,2
"Actinomycetota","Thermoleophilia","Baekduia soli BR7-21","bsol",0,2,2
"Bacteroidota","Saprospiria","Haliscomenobacter hydrossis DSM 1100","hhy",2,2,2
"Campylobacterota","Desulfurellia","Desulfurella acetivorans A63","dav",1,2,2
"Thermodesulfobacteriota","Syntrophobacteria","Syntrophobacter fumaroxidans MPOB","sfu",1,2,2
"Bdellovibrionota","Bdellovibrionia","Bdellovibrio sp. ZAP7","bdz",1,3,3
"Candidatus Chazhemtobacterium","N/A","Candidatus Chazhemtobacterium aquaticus CH65","caqa",0,3,3
"Dissulfurimicrobium","N/A","Dissulfurimicrobium hydrothermale Sh68","dhr",1,3,3
"Bdellovibrionota","Bdellovibrionia","Micavibrio aeruginosavorus EPB","man",0,3,3
"Planctomycetota","Candidatus Brocadiia","Candidatus Jettenia sp. AM49","jet",1,3,3
"Planctomycetota","Candidatus Brocadiia","Candidatus Kuenenia stuttgartensis kuenenia_mbr1_ru-nijmegen (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)","kst",1,3,3
"Bdellovibrionota","Bdellovibrionia","Pseudobdellovibrio exovorus JSS (Bdellovibrio exovorus JSS)","bex",1,3,3
"Vermiphilus","N/A","Vermiphilus pyriformis TW-EDP1-1","vpm",0,3,3
"Planctomycetota","Candidatus Brocadiia","Candidatus Brocadia pituitae 317325-1","bpit",1,3,3
"Verrucomicrobiota","Verrucomicrobiia","Akkermansia muciniphila ATCC BAA-835","amu",1,4,4
"Chloroflexota","Chloroflexia","Chloroflexus aggregans DSM 9485","cag",0,4,4
"Verrucomicrobiota","Verrucomicrobiia","Sulfuriroseicoccus oceanibius T37","soa",1,4,4
"Chloroflexota","Chloroflexia","Roseiflexus sp. RS-1","rrs",0,4,4
"Chloroflexota","Chloroflexia","Thermobaculum terrenum ATCC BAA-798","ttr",1,4,4
"Verrucomicrobiota","Verrucomicrobiia","Luteolibacter luteus G-1-1-1","luo",1,4,4
"Chloroflexota","Chloroflexia","Herpetosiphon aurantiacus DSM 785","hau",1,4,4
"Verrucomicrobiota","Verrucomicrobiia","Roseimicrobium sp. ORNL1","roo",1,4,4
"Deferribacterota","Deferribacteres","Calditerrivibrio nitroreducens DSM 19672","cni",1,5,5
"Thermodesulfobacteriota","Desulfobulbia","Desulfobulbus propionicus DSM 2032","dpr",1,5,5
"Chlorobiota","Chlorobiia","Chloroherpeton thalassium ATCC 35110","cts",1,5,5
"Actinomycetota","Acidimicrobiia","Ilumatobacter coccineus YM16-304","aym",0,5,5
"Actinomycetota","Acidimicrobiia","Iamia sp. SCSIO 61187","iam",0,5,5
"Thermodesulfobacteriota","Thermodesulfobacteria","Thermosulfuriphilus ammonigenes ST65","tav",1,5,5
"Thermodesulfobacteriota","Desulfobulbia","Desulfomarina profundi KT2","dbk",1,5,5
"Mycoplasmatota","Mycoplasmoidales","Mesomycoplasma neurolyticum NCTC10166","mnu",0,5,5
"Actinomycetota","Acidimicrobiia","Actinomarinicola tropica SCSIO 58843","atq",0,5,5
"Mycoplasmatota","Mycoplasmoidales","Mycoplasmopsis fermentans M64 (Mycoplasma fermentans M64)","mfm",0,5,5
"Thermodesulfobacteriota","Desulfobulbia","Desulfurivibrio alkaliphilus AHT 2","dak",1,5,5
"Deferribacterota","Deferribacteres","Geovibrio thiophilus DSM 11263","gtl",1,5,5
"Thermodesulfobacteriota","Desulfobulbia","Desulfotalea psychrophila LSv54","dps",1,5,5
"Thermodesulfobacteriota","Thermodesulfobacteria","Thermodesulfobacterium sp. TA1","thet",1,5,5
"Thermodesulfobacteriota","Thermodesulfobacteria","Thermodesulfatator indicus DSM 15286","tid",1,5,5
"Mycoplasmatota","Mycoplasmoidales","Metamycoplasma arthritidis 158L3-1 (Mycoplasma arthritidis 158L3-1)","mat",0,5,5
"Deferribacterota","Deferribacteres","Flexistipes sinusarabici DSM 4947","fsi",1,5,5
"Actinomycetota","Acidimicrobiia","Acidimicrobium ferrooxidans DSM 10331","afo",0,5,5
"Thermodesulfobacteriota","Thermodesulfobacteria","Thermosulfurimonas marina SU872","tmai",1,5,5
"Actinomycetota","Acidimicrobiia","Aquihabitans sp. G128","aqz",0,5,5
"Chlorobiota","Chlorobiia","Chlorobium limicola DSM 245","cli",1,5,5
"Mycoplasmatota","Mycoplasmoidales","Ureaplasma urealyticum serovar 10 ATCC 33699","uue",0,5,5
"Deferribacterota","Deferribacteres","Denitrovibrio acetiphilus DSM 12809","dap",1,5,5
"Chlorobiota","Chlorobiia","Prosthecochloris aestuarii DSM 271","paa",1,5,5
"Chlorobiota","Chlorobiia","Chlorobaculum limnaeum DSM 1677","clz",1,5,5
"Thermodesulfobacteriota","Desulfobulbia","Desulfocapsa sulfexigens DSM 10523","dsf",1,5,5
"Chlorobiota","Chlorobiia","Pelodictyon phaeoclathratiforme BU-1","pph",1,5,5
"Thermodesulfobacteriota","Thermodesulfobacteria","Caldimicrobium thiodismutans TF1","cthi",1,5,5
"Deferribacterota","Deferribacteres","Deferribacter desulfuricans SSM1","ddf",1,5,5
"Mycoplasmatota","Mycoplasmoidales","Malacoplasma iowae 695","miw",0,5,5
"Myxococcota","Polyangia","Minicystis rosea DSM 24000","mrm",1,6,6
"Myxococcota","Polyangia","Chondromyces crocatus Cm c5","ccro",1,6,6
"Myxococcota","Polyangia","Haliangium ochraceum DSM 14365","hoh",1,6,6
"Verrucomicrobiota","Opitutia","Horticoccus luteus KSB-15","ole",1,6,6
"Myxococcota","Polyangia","Labilithrix luteola DSM 27648","llu",1,6,6
"Verrucomicrobiota","Opitutia","Ruficoccus sp. ZRK36","rufi",1,6,6
"Myxococcota","Polyangia","Sandaracinus amylolyticus DSM 53668","samy",1,6,6
"Synergistota","Synergistia","Fretibacterium fastidiosum (Synergistetes bacterium SGP1)","sbr",0,6,6
"Synergistota","Synergistia","Cloacibacillus porcorum CL-84","cpor",1,6,6
"Verrucomicrobiota","Opitutia","Lacunisphaera limnophila IG16b","obg",1,6,6
"Deinococcota","Deinococci","Marinithermus hydrothermalis DSM 14884","mhd",0,6,6
"Synergistota","Synergistia","Thermanaerovibrio acidaminovorans DSM 6589","tai",0,6,6
"Deinococcota","Deinococci","Truepera radiovictrix DSM 17093","tra",0,6,6
"Deinococcota","Deinococci","Allomeiothermus silvanus DSM 9946 (Meiothermus silvanus DSM 9946)","msv",0,6,6
"Verrucomicrobiota","Opitutia","Coraliomargarita akajimensis DSM 45221","caa",1,6,6
"Verrucomicrobiota","Opitutia","Nibricoccus aquaticus HZ-65","vbh",1,6,6
"Myxococcota","Polyangia","Sorangium cellulosum So0157-2","scu",1,6,6
"Synergistota","Synergistia","Thermovirga lienii DSM 17291","tli",1,6,6
"Deinococcota","Deinococci","Oceanithermus profundus DSM 14977","opr",0,6,6
"Deinococcota","Deinococci","Deinococcus peraridilitoris DSM 19664","dpd",0,6,6
"Deinococcota","Deinococci","Thermus scotoductus SA-01","tsc",0,6,6
"Verrucomicrobiota","Opitutia","Opitutus terrae PB90-1","ote",1,6,6
"Synergistota","Synergistia","Acetomicrobium mobile DSM 13181 (Anaerobaculum mobile DSM 13181)","amo",0,6,6
"Synergistota","Synergistia","Aminobacterium colombiense DSM 12261","aco",0,6,6
"Fusobacteriota","Fusobacteriia","Sneathia vaginalis SN35 (Sneathia amnii Sn35)","sns",0,7,7
"Chlamydiota","Chlamydiia","Neochlamydia sp. S13, endosymbiont of Acanthamoeba sp.","ney",1,7,7
"Planctomycetota","Phycisphaerae","Poriferisphaera corsica KS4","pcor",1,7,7
"Planctomycetota","Phycisphaerae","Sedimentisphaera salicampi ST-PulAB-D4","pbp",1,7,7
"Fusobacteriota","Fusobacteriia","Streptobacillus moniliformis DSM 12112","smf",0,7,7
"Bacteroidota","Sphingobacteriia","Anseongella ginsenosidimutans Gsoil 524","agd",1,7,7
"Bacteroidota","Sphingobacteriia","Sphingobacterium sp. DR205","spdr",1,7,7
"Planctomycetota","Phycisphaerae","Phycisphaera mikurensis NBRC 102666","phm",1,7,7
"Bacteroidota","Sphingobacteriia","Solitalea canadensis DSM 3403","scn",1,7,7
"Fusobacteriota","Fusobacteriia","Pseudoleptotrichia goodfellowii JCM16774","lgo",0,7,7
"Planctomycetota","Phycisphaerae","Anaerohalosphaera lusitana ST-NAGAB-D1","alus",1,7,7
"Bacteroidota","Sphingobacteriia","Mucilaginibacter rubeus P1","mrub",1,7,7
"Fusobacteriota","Fusobacteriia","Sebaldella termitidis ATCC 33386","str",0,7,7
"Chlamydiota","Chlamydiia","Simkania negevensis Z","sng",1,7,7
"Chlamydiota","Chlamydiia","Chlamydia trachomatis D/UW-3/CX","ctr",1,7,7
"Bacteroidota","Sphingobacteriia","Pseudopedobacter saltans DSM 12145 (Pedobacter saltans DSM 12145)","psn",1,7,7
"Bacteroidota","Sphingobacteriia","Pedobacter steynii DX4","psty",1,7,7
"Planctomycetota","Phycisphaerae","Limihaloglobus sulfuriphilus SM-Chi-D1","pbas",1,7,7
"Fusobacteriota","Fusobacteriia","Leptotrichia hofstadii JCM16775","lhf",0,7,7
"Planctomycetota","Phycisphaerae","Mucisphaera calidilacus Pan265","mcad",1,7,7
"Chlamydiota","Chlamydiia","Waddlia chondrophila WSU 86-1044","wch",1,7,7
"Chlamydiota","Chlamydiia","Candidatus Rhabdochlamydia oedothoracis W744","rhaw",0,7,7
"Bacteroidota","Sphingobacteriia","Olivibacter sp. LS-1","oli",1,7,7
"Chlamydiota","Chlamydiia","Candidatus Protochlamydia naegleriophila KNic","pnl",1,7,7
"Planctomycetota","Phycisphaerae","Humisphaera borealis M1803","hbs",1,7,7
"Fusobacteriota","Fusobacteriia","Ilyobacter polytropus DSM 2926","ipo",0,7,7
"Chlamydiota","Chlamydiia","Parachlamydia acanthamoebae UV-7","puv",1,7,7
"Fusobacteriota","Fusobacteriia","Fusobacterium varium Fv113-g1","fva",1,7,7
"Myxococcota","Myxococcia","Corallococcus coralloides DSM 2259","ccx",1,8,8
"Myxococcota","Myxococcia","Vulgatibacter incomptus DSM 27710","vin",2,8,8
"Thermodesulfobacteriota","Desulfobacteria","Desulforapulum autotrophicum HRM2 (Desulfobacterium autotrophicum HRM2)","dat",1,8,8
"Thermodesulfobacteriota","Desulfobacteria","Desulfatibacillum aliphaticivorans AK-01 (Desulfatibacillum alkenivorans AK-01)","dal",1,8,8
"Aquificota","Aquificia","Aquifex aeolicus VF5","aae",1,8,8
"Thermodesulfobacteriota","Desulfobacteria","Desulfobacula toluolica Tol2","dto",1,8,8
"Aquificota","Aquificia","Desulfurobacterium thermolithotrophum DSM 11699","dte",1,8,8
"Aquificota","Aquificia","Hydrogenobacter thermophilus TK-6","hte",1,8,8
"Myxococcota","Myxococcia","Archangium violaceum SDU34","avm",1,8,8
"Myxococcota","Myxococcia","Anaeromyxobacter sp. K","ank",1,8,8
"Aquificota","Aquificia","Persephonella marina EX-H1","pmx",1,8,8
"Aquificota","Aquificia","Sulfurihydrogenibium sp. YO3AOP1","sul",1,8,8
"Aquificota","Aquificia","Hydrogenobaculum sp. Y04AAS1","hya",1,8,8
"Thermodesulfobacteriota","Desulfobacteria","Desulfosarcina ovata subsp. sediminis 28bB2T","dov",1,8,8
"Thermodesulfobacteriota","Desulfobacteria","Desulfonema magnum 4be13","dmm",1,8,8
"Aquificota","Aquificia","Thermovibrio ammonificans HB-1","tam",1,8,8
"Thermodesulfobacteriota","Desulfobacteria","Desulfosudis oleivorans Hxd3","dol",1,8,8
"Myxococcota","Myxococcia","Stigmatella aurantiaca DW4/3-1","sur",1,8,8
"Myxococcota","Myxococcia","Cystobacter fuscus DSM 52655","cfus",1,8,8
"Aquificota","Aquificia","Thermocrinis albus DSM 14484","tal",1,8,8
"Thermodesulfobacteriota","Desulfobacteria","Desulfoluna limicola ASN36","dek",1,8,8
"Thermodesulfobacteriota","Desulfobacteria","Desulfococcus multivorans DSM 2059","dml",1,8,8
"Myxococcota","Myxococcia","Melittangium boletus DSM 14713","mbd",1,8,8
"Myxococcota","Myxococcia","Myxococcus xanthus DK 1622","mxa",1,8,8
"Thermodesulfobacteriota","Desulfuromonadia","Syntrophotalea carbinolica DSM 2380 (Pelobacter carbinolicus DSM 2380)","pca",1,9,9
"Thermodesulfobacteriota","Desulfuromonadia","Citrifermentans bemidjiense Bem (Geobacter bemidjiensis Bem)","gbm",1,9,9
"Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonas versatilis NIT-T3","dve",1,9,9
"Bacillota","Tissierellia","Peptoniphilus harei NCTC13077","phar",0,9,9
"Thermodesulfobacteriota","Desulfuromonadia","Geotalea uraniireducens Rf4","gur",1,9,9
"Acidobacteriota","Terriglobia","Paludibaculum fermentans P105","pfer",1,9,9
"Bacillota","Tissierellia","Finegoldia magna ATCC 29328","fma",0,9,9
"Acidobacteriota","Terriglobia","Acidisarcina polymorpha SBC82","abas",1,9,9
"Thermodesulfobacteriota","Desulfuromonadia","Pelobacter propionicus DSM 2379","ppd",1,9,9
"Acidobacteriota","Terriglobia","Terriglobus albidus ORNL","talb",1,9,9
"Thermodesulfobacteriota","Desulfuromonadia","Geobacter sulfurreducens PCA","gsu",1,9,9
"Acidobacteriota","Terriglobia","Candidatus Koribacter versatilis Ellin345","aba",1,9,9
"Bacillota","Tissierellia","Anaerococcus prevotii DSM 20548","apr",0,9,9
"Acidobacteriota","Terriglobia","Granulicella mallensis MP5ACTX8","gma",1,9,9
"Acidobacteriota","Terriglobia","Edaphobacter sp. 12200R-103","eda",1,9,9
"Bacillota","Tissierellia","Caloranaerobacter azorensis T3-1","cazo",1,9,9
"Thermodesulfobacteriota","Desulfuromonadia","Geoalkalibacter subterraneus Red1","gsb",1,9,9
"Bacillota","Tissierellia","Sedimentibacter sp. zth1","sedz",1,9,9
"Acidobacteriota","Terriglobia","Acidobacterium capsulatum ATCC 51196","aca",1,9,9
"Thermodesulfobacteriota","Desulfuromonadia","Trichlorobacter lovleyi SZ (Geobacter lovleyi SZ)","glo",1,9,9
"Bacillota","Tissierellia","Parvimonas micra KCOM 1535","pmic",0,9,9
"Bacillota","Tissierellia","Keratinibaculum paraultunense KD-1","kpar",1,9,9
"Acidobacteriota","Terriglobia","Candidatus Solibacter usitatus Ellin6076","sus",1,9,9
"Bacillota","Tissierellia","Acidilutibacter cellobiosedens JN-28","spoa",1,9,9
"Bacillota","Tissierellia","Gottschalkia acidurici 9a (Clostridium acidurici 9a)","cad",0,9,9
"Acidobacteriota","Terriglobia","Chloracidobacterium thermophilum B","ctm",1,9,9
"Thermodesulfobacteriota","Desulfuromonadia","Geomonas subterranea RG2","gsub",1,9,9
"Bacillota","Negativicutes","Pelosinus sp. UFO1","puf",1,10,10
"Bacillota","Erysipelotrichia","Intestinibaculum porci SG0102","ebm",0,10,10
"Bacillota","Negativicutes","Methylomusa anaerophila MMFC1","mana",1,10,10
"Bacillota","Negativicutes","Acidaminococcus intestini RyC-MR95","ain",1,10,10
"Bacillota","Negativicutes","Megasphaera elsdenii DSM 20460","med",2,10,10
"Bacillota","Negativicutes","Megamonas funiformis JCM 14723","mfun",1,10,10
"Bacillota","Erysipelotrichia","Amedibacterium intestinale JCM 30884","aarg",1,10,10
"Bacillota","Negativicutes","Phascolarctobacterium faecium JCM 30894","pfac",0,10,10
"Bacillota","Erysipelotrichia","Longicatena caecimuris 3BBH23","lcg",2,10,10
"Bacillota","Negativicutes","Veillonella parvula DSM 2008","vpr",0,10,10
"Bacillota","Erysipelotrichia","Faecalitalea cylindroides T2-87 (Eubacterium cylindroides T2-87)","euc",1,10,10
"Bacillota","Negativicutes","Sporomusa termitida DSM 4440","sted",1,10,10
"Bacillota","Erysipelotrichia","Faecalibaculum rodentium ALO17","fro",1,10,10
"Bacillota","Negativicutes","Dialister hominis 5BBH33","dho",0,10,10
"Bacillota","Erysipelotrichia","Faecalibacillus intestinalis 14EGH31","fit",1,10,10
"Bacillota","Negativicutes","Selenomonas ruminantium subsp. lactilytica TAM6421","sri",1,10,10
"Bacillota","Erysipelotrichia","Allobaculum mucilyticum 128","amuo",0,10,10
"Bacillota","Erysipelotrichia","Turicibacter sanguinis MOL361","tsg",0,10,10
"Bacillota","Erysipelotrichia","Erysipelothrix larvae LV19 (Erysipelothrix sp. LV19)","erl",0,10,10
"Bacillota","Erysipelotrichia","Bulleidia sp. zg-1006","bull",0,10,10
"Thermotogota","Thermotogae","Pseudothermotoga lettingae TMO","tle",1,11,11
"Thermotogota","Thermotogae","Petrotoga mobilis SJ95","pmo",0,11,11
"Thermotogota","Thermotogae","Tepiditoga spiralis sy52","ocy",1,11,11
"Thermotogota","Thermotogae","Defluviitoga tunisiensis","dtn",0,11,11
"Thermotogota","Thermotogae","Fervidobacterium pennivorans DSM 9078","fpe",1,11,11
"Thermotogota","Thermotogae","Mesotoga prima MesG1.Ag.4.2","mpg",1,11,11
"Thermotogota","Thermotogae","Kosmotoga olearia TBF 19.5.1","kol",1,11,11
"Thermotogota","Thermotogae","Thermosipho africanus TCF52B","taf",0,11,11
"Thermotogota","Thermotogae","Thermotoga neapolitana DSM 4359","tna",0,11,11
"Thermotogota","Thermotogae","Athalassotoga saccharophila NAS-01","asac",1,11,11
"Thermotogota","Thermotogae","Marinitoga piezophila KA3","mpz",1,11,11
"Mycoplasmatota","Mollicutes","Strawberry lethal yellows phytoplasma (CPA) NZSb11","nzs",0,12,12
"Mycoplasmatota","Mollicutes","Candidatus Hepatoplasma crinochetorum Av","hcr",0,12,12
"Mycoplasmatota","Mollicutes","Acholeplasma oculi 19L","aoc",0,12,12
"Mycoplasmatota","Mollicutes","Paracholeplasma brassicae O502 (Acholeplasma brassicae O502)","abra",0,12,12
"Mycoplasmatota","Mollicutes","Spiroplasma chinense CCH","schi",0,12,12
"Mycoplasmatota","Mollicutes","Mesoplasma syrphidae YJS","msyr",0,12,12
"Mycoplasmatota","Mollicutes","Entomoplasma freundtii BARC 318","efr",0,12,12
"Mycoplasmatota","Mollicutes","Mariniplasma anaerobium Mahy22","manr",0,12,12
"Mycoplasmatota","Mollicutes","Williamsoniiplasma luminosum PIMN-1","elj",0,12,12
"Mycoplasmatota","Mollicutes","Mycoplasma mycoides subsp. mycoides SC Gladysdale","mmym",0,12,12
"Mycoplasmatota","Mollicutes","Alteracholeplasma palmae J233 (Acholeplasma palmae J233)","apal",0,12,12
"Mycoplasmatota","Mollicutes","Haploplasma axanthum NCTC10138","aaxa",0,12,12
"Thermodesulfobacteriota","Desulfovibrionia","Desulfomicrobium baculatum DSM 4028","dba",1,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Desulfocurvibacter africanus subsp. africanus Walvis Bay","daf",1,13,13
"Bacteroidota","Chitinophagia","Niastella koreensis GR20-10","nko",2,13,13
"Bacteroidota","Chitinophagia","Filimonas lacunae NBRC 104114","fln",2,13,13
"Bacteroidota","Chitinophagia","Flavisolibacter ginsenosidimutans Gsoil 636","fgg",2,13,13
"Thermodesulfobacteriota","Desulfovibrionia","Oceanidesulfovibrio marinus CS1","dms",1,13,13
